A,B,C,D
-2440.00,4472899.20,8922123.14,14166519.23
-2440.00,4472899.20,8922123.14,14166519.23
-2480.00,6637426.43,8922123.14,14166519.23
-2500.00,6637426.43,8922123.14,14166519.23
-2520.00,6637426.43,8922123.14,14166519.23
-2530.00,6637426.43,8922123.14,17735814.59
-2530.00,6637426.43,8922123.14,14166519.23
-2570.00,4472899.20,8922123.14,14166519.23
-2580.00,6637426.43,8922123.14,14166519.23
-2590.00,6637426.43,8922123.14,14166519.23
-3040.00,6637426.43,8922123.14,14166519.23
-2800.00,6637426.43,8922123.14,14166519.23
-3010.00,6637426.43,8922123.14,14166519.23
-3020.00,6637426.43,8922123.14,14166519.23
-3020.00,6637426.43,8922123.14,17735814.59
-3030.00,6637426.43,8922123.14,14166519.23
-3040.00,6637426.43,8922123.14,14166519.23
-2770.00,6637426.43,8922123.14,14166519.23
-2780.00,6637426.43,8922123.14,14166519.23
-2790.00,6637426.43,8922123.14,14166519.23
-2800.00,6637426.43,8922123.14,14166519.23
-2830.00,6637426.43,8922123.14,14166519.23
-2830.00,6637426.43,8922123.14,14166519.23
-2830.00,6637426.43,8922123.14,17735814.59
-2850.00,6637426.43,8922123.14,14166519.23
-2860.00,6637426.43,8922123.14,14166519.23
-2880.00,6637426.43,8922123.14,14166519.23
-2980.00,6637426.43,8922123.14,14166519.23
-3360.00,6637426.43,8922123.14,14166519.23
-3070.00,6637426.43,8922123.14,14166519.23
-3220.00,6637426.43,8922123.14,14166519.23
-3290.00,6637426.43,8922123.14,14166519.23
-3320.00,6637426.43,8922123.14,17735814.59
-3350.00,6637426.43,8922123.14,14166519.23
-3350.00,6637426.43,8922123.14,14166519.23
-3040.00,6637426.43,8922123.14,14166519.23
-3060.00,6637426.43,8922123.14,14166519.23
-3070.00,6637426.43,8922123.14,14166519.23
-3070.00,6637426.43,8922123.14,14166519.23
-3070.00,6637426.43,8922123.14,14166519.23
-3140.00,6637426.43,8922123.14,14166519.23
-3160.00,6637426.43,8922123.14,17735814.59
-3190.00,6637426.43,8922123.14,14166519.23
-3190.00,6637426.43,8922123.14,14166519.23
-3210.00,6637426.43,8922123.14,14166519.23
-3220.00,6637426.43,8922123.14,14166519.23
-3670.00,6637426.43,8922123.14,14166519.23
-3430.00,6637426.43,8922123.14,14166519.23
