-641,4472899.205,9676105.373,10874491.02
-559,4472899.205,9676105.373,10874491.02
-633,4472899.205,9676105.373,10874491.02
-633,4472899.205,9676105.373,10874491.02
-634,4472899.205,9676105.373,10874491.02
-634,4472899.205,9676105.373,10874491.02
-641,4472899.205,9676105.373,10874491.02
-390,4472899.205,9676105.373,10874491.02
-390,4472899.205,9676105.373,10874491.02
-392,4472899.205,9676105.373,10874491.02
-392,4472899.205,9676105.373,10874491.02
-562,4472899.205,9676105.373,10874491.02
-569,4472899.205,9676105.373,10874491.02
-569,4472899.205,9676105.373,10874491.02
-616,4472899.205,9676105.373,10874491.02
-616,4472899.205,9676105.373,10874491.02
-620,4472899.205,9676105.373,10874491.02
-620,4472899.205,9676105.373,10874491.02
-902,4472899.205,8922123.136,10027128.09
-766,4472899.205,8922123.136,10027128.09
-898,4472899.205,8922123.136,10027128.09
-898,4472899.205,8922123.136,10027128.09
-898,4472899.205,8922123.136,10027128.09
-898,4472899.205,8922123.136,10027128.09
-902,4472899.205,8922123.136,10027128.09
-728,4472899.205,8922123.136,10027128.09
-732,4472899.205,8922123.136,10027128.09
-757,4472899.205,8922123.136,10027128.09
-757,4472899.205,8922123.136,10027128.09
-766,4472899.205,8922123.136,10027128.09
-813,4472899.205,8922123.136,10027128.09
-870,4472899.205,8922123.136,10027128.09
-870,4472899.205,8922123.136,10027128.09
-884,4472899.205,8922123.136,10027128.09
-885,4472899.205,8922123.136,10027128.09
-897,4472899.205,8922123.136,10027128.09
-1190,4472899.205,8922123.136,10027128.09
-960,4472899.205,8922123.136,10027128.09
-1090,4472899.205,8922123.136,10027128.09
-1150,4472899.205,8922123.136,10027128.09
-1150,4472899.205,8922123.136,10027128.09
-1170,4472899.205,8922123.136,10027128.09
-1180,4472899.205,8922123.136,10027128.09
-902,4472899.205,8922123.136,10027128.09
-903,4472899.205,8922123.136,10027128.09
-908,4472899.205,8922123.136,10027128.09
-915,4472899.205,8922123.136,10027128.09
-960,4472899.205,8922123.136,10027128.09
