A,B,C,D
-28.60,66374.26,89221.23,141665.19
-28.80,66374.26,89221.23,141665.19
-29.80,66374.26,89221.23,141665.19
-33.60,66374.26,89221.23,141665.19
-30.70,66374.26,89221.23,141665.19
-32.20,66374.26,89221.23,141665.19
-32.90,66374.26,89221.23,141665.19
-33.20,66374.26,89221.23,177358.15
-33.50,66374.26,89221.23,141665.19
-33.50,66374.26,89221.23,141665.19
-30.40,66374.26,89221.23,141665.19
-30.60,66374.26,89221.23,141665.19
-30.70,66374.26,89221.23,141665.19
-30.70,66374.26,89221.23,141665.19
-30.70,66374.26,89221.23,141665.19
-31.40,66374.26,89221.23,141665.19
-31.60,66374.26,89221.23,177358.15
-31.90,66374.26,89221.23,141665.19
-31.90,66374.26,89221.23,141665.19
-32.10,66374.26,89221.23,141665.19
-32.20,66374.26,89221.23,141665.19
-36.70,66374.26,89221.23,141665.19
-34.30,66374.26,89221.23,141665.19
-35.90,66374.26,89221.23,141665.19
-36.10,66374.26,89221.23,141665.19
-36.10,66374.26,89221.23,177358.15
-36.20,66374.26,89221.23,141665.19
-36.30,66374.26,89221.23,141665.19
-33.60,66374.26,89221.23,141665.19
-33.90,66374.26,89221.23,141665.19
-33.90,66374.26,89221.23,141665.19
-33.90,66374.26,89221.23,141665.19
-34.40,66374.26,89221.23,141665.19
-34.50,66374.26,89221.23,141665.19
-34.60,66374.26,89221.23,177358.15
-35.30,66374.26,89221.23,141665.19
-35.50,66374.26,89221.23,141665.19
-35.70,66374.26,89221.23,141665.19
-35.70,66374.26,89221.23,141665.19
-40.00,66374.26,89221.23,141665.19
-37.40,66374.26,89221.23,141665.19
-38.90,66374.26,89221.23,141665.19
-39.00,66374.26,89221.23,141665.19
-39.10,66374.26,342609.53,177358.15
-39.20,66374.26,89221.23,141665.19
-39.60,66374.26,89221.23,141665.19
-37.10,66374.26,89221.23,141665.19
-37.10,66374.26,89221.23,141665.19
-37.20,66374.26,89221.23,141665.19
-37.20,66374.26,89221.23,141665.19
-37.50,66374.26,89221.23,141665.19
-37.70,66374.26,89221.23,141665.19
-37.80,66374.26,342609.53,177358.15
-38.00,66374.26,89221.23,141665.19
-38.10,66374.26,89221.23,141665.19
-38.70,66374.26,89221.23,141665.19
-38.70,66374.26,89221.23,141665.19
-42.90,66374.26,89221.23,141665.19
-40.30,66374.26,89221.23,141665.19
-42.10,66374.26,89221.23,141665.19
-42.50,66374.26,228406.35,141665.19
-42.60,66374.26,342609.53,177358.15
-42.70,66374.26,89221.23,141665.19
-42.80,66374.26,89221.23,141665.19
-40.00,66374.26,89221.23,141665.19
-40.10,66374.26,89221.23,141665.19
-40.10,66374.26,89221.23,141665.19
-40.20,66374.26,89221.23,141665.19
-40.50,66374.26,89221.23,141665.19
-40.70,66374.26,89221.23,141665.19
-41.00,66374.26,342609.53,177358.15
-41.40,66374.26,228406.35,141665.19
-41.60,66374.26,89221.23,141665.19
-41.80,66374.26,89221.23,141665.19
-41.80,66374.26,89221.23,141665.19
-46.00,66374.26,89221.23,141665.19
-44.00,66374.26,89221.23,141665.19
-44.90,66374.26,89221.23,141665.19
-45.00,66374.26,228406.35,141665.19
-45.40,66374.26,342609.53,177358.15
-45.60,66374.26,89221.23,141665.19
-46.00,66374.26,228406.35,141665.19
-43.20,66374.26,89221.23,141665.19
-43.20,66374.26,89221.23,141665.19
-43.40,66374.26,89221.23,141665.19
-43.80,66374.26,89221.23,141665.19
-44.00,66374.26,228406.35,141665.19
-44.10,66374.26,89221.23,141665.19
-44.20,66374.26,342609.53,177358.15
-44.20,66374.26,228406.35,141665.19
-44.30,66374.26,89221.23,141665.19
-44.50,66374.26,89221.23,141665.19
-44.50,66374.26,89221.23,141665.19
-49.60,66374.26,89221.23,141665.19
-47.00,66374.26,89221.23,141665.19
-48.10,66374.26,89221.23,141665.19
-48.40,66374.26,228406.35,141665.19
-48.40,66374.26,342609.53,177358.15
-48.90,66374.26,228406.35,141665.19
-49.10,66374.26,228406.35,141665.19
-46.20,66374.26,89221.23,141665.19
-46.30,66374.26,89221.23,141665.19
-46.50,66374.26,89221.23,141665.19
-46.90,66374.26,89221.23,141665.19
-47.00,66374.26,228406.35,141665.19
-47.10,66374.26,228406.35,141665.19
-47.30,66374.26,342609.53,177358.15
-47.30,66374.26,228406.35,141665.19
-47.40,66374.26,89221.23,141665.19
-48.00,66374.26,89221.23,141665.19
-48.00,66374.26,89221.23,141665.19
-52.30,75924.42,89221.23,141665.19
-50.30,66374.26,89221.23,141665.19
-51.70,75924.42,89221.23,141665.19
-51.90,66374.26,228406.35,141665.19
-51.90,66374.26,0.00,177358.15
-51.90,66374.26,228406.35,141665.19
-52.10,75924.42,228406.35,141665.19
-49.60,66374.26,89221.23,141665.19
-49.70,66374.26,89221.23,141665.19
-50.00,66374.26,89221.23,141665.19
-50.00,66374.26,89221.23,141665.19
-50.40,66374.26,228406.35,141665.19
-50.40,66374.26,228406.35,141665.19
-50.70,66374.26,0.00,177358.15
-51.00,66374.26,228406.35,141665.19
-51.10,66374.26,89221.23,141665.19
-51.20,66374.26,89221.23,141665.19
-51.20,66374.26,89221.23,141665.19
-55.50,75924.42,89221.23,141665.19
-52.80,66374.26,89221.23,141665.19
-54.80,75924.42,89221.23,141665.19
-55.00,66374.26,228406.35,141665.19
-55.10,75924.42,0.00,177358.15
-55.20,75924.42,228406.35,141665.19
-55.40,75924.42,228406.35,141665.19
-52.40,66374.26,89221.23,141665.19
-52.40,66374.26,228406.35,141665.19
-52.50,66374.26,228406.35,141665.19
-52.80,66374.26,89221.23,141665.19
-53.00,66374.26,228406.35,141665.19
-53.70,75924.42,228406.35,141665.19
-53.80,75924.42,0.00,177358.15
-54.10,75924.42,228406.35,141665.19
-54.30,66374.26,89221.23,141665.19
-54.40,75924.42,89221.23,141665.19
-54.60,75924.42,89221.23,141665.19
-58.80,75924.42,89221.23,141665.19
-56.30,75924.42,89221.23,141665.19
-57.90,75924.42,228406.35,141665.19
-57.90,75924.42,0.00,141665.19
-58.10,97047.61,0.00,177358.15
-58.40,75924.42,228406.35,141665.19
-58.50,75924.42,228406.35,141665.19
-55.60,75924.42,89221.23,141665.19
-55.90,75924.42,228406.35,141665.19
-55.90,75924.42,228406.35,141665.19
-56.10,75924.42,89221.23,141665.19
-56.50,75924.42,228406.35,141665.19
-57.00,75924.42,228406.35,141665.19
-57.00,75924.42,0.00,177358.15
-57.20,75924.42,0.00,141665.19
-57.20,75924.42,89221.23,141665.19
-57.60,75924.42,89221.23,141665.19
-57.80,75924.42,89221.23,141665.19
-62.10,75924.42,89221.23,141665.19
-59.70,75924.42,228406.35,141665.19
-60.40,75924.42,228406.35,141665.19
-60.70,75924.42,546480.04,141665.19
-60.70,75924.42,1006527.02,177358.15
-61.10,75924.42,228406.35,141665.19
-61.50,75924.42,471199.63,141665.19
-58.90,75924.42,89221.23,141665.19
-59.10,97047.61,228406.35,141665.19
